feature,importance
PVI_a,0.10895295446777807
d_1,0.03241905268125986
CCi_3_,0.03188946925046838
PFR_a,0.02934182942987389
CCa_6_,0.024465188377676292
Hi_2___sd_,0.02225571618982057
Ha_7___rel_,0.021914182267529468
CCi_6_,0.01959091763952993
Hi_8___sd_,0.01716472659871103
PVI_i,0.016187189493173777
Ha_2___sd_,0.01574740727454678
J55_a,0.015737226047114673
Ha_8___rel_,0.015606775561592772
Hi_6___sd_,0.015109484685040874
Hi_2___rel_,0.014552309808143083
CCi_8_,0.014201743378361545
Hi_1___rel_,0.013258180930911174
GNEa___mu_,0.012840170161441187
CCi_11_,0.012485957162525738
Hi_4___rel_,0.012480212110011026
CCi_2_,0.012448902018766557
CCi_7_,0.012206791450300352
CCa_8_,0.012134169497980725
S55_i,0.01184755270337041
CCa_9_,0.011782249745848756
Ha_8___sd_,0.01169376084069229
Ha_1___mu_,0.011437647819200243
dCCi_5_,0.011429465600881584
HNR_i,0.011362738561336039
Ha_8___mu_,0.011076800549224447
PPE_a,0.010549458954509285
Ha_4___sd_,0.0102327136440729
S1_i,0.010101863598729261
F2__conv_,0.009911918896074713
S11_i,0.00975485884024498
DPF_i,0.009745717681670717
dCCa_4_,0.009390168723672442
Ha_5___rel_,0.009216620467000634
dCCi_4_,0.00905314964002199
PFR_i,0.008926623128580086
Ha_6___rel_,0.008898578269921123
Hi_3___sd_,0.008725108411767941
F2_i,0.008696070232275742
dCCa_7_,0.008099882270757636
dCCi_8_,0.007568426717847707
Hi_4___sd_,0.007521311904500956
dCCi_3_,0.007163899542146215
Age,0.007025484705249719
CCi_4_,0.006638378431253522
dCCa_8_,0.006529427794721
Hi_4___mu_,0.006455604282141022
S55_a,0.00641725933601216
CCa_5_,0.00637380186447154
J55_i,0.006291453366034603
GNEi___mu_,0.006176889116692258
Ha_6___sd_,0.0060261195570932395
dCCa_1_,0.00593668664966553
dCCi_10_,0.005714619007348666
CCa_3_,0.0056341314619240655
dCCa_10_,0.005616438148295354
CCi_9_,0.005575093085973766
Ha_1___sd_,0.0055171740281310475
Ha_6___mu_,0.005320869955782701
GNEa___sigma_,0.005199466897125678
Hi_6___mu_,0.005080743482967241
dCCi_12_,0.004785152069959831
J1_a,0.004764545525558848
Hi_7___sd_,0.004498301723943642
Hi_7___rel_,0.004441216396369551
S1_a,0.004424234166407374
CCa_2_,0.004340888758052903
Hi_5___rel_,0.004267761083419802
CCa_4_,0.004227001245166017
Hi_3___rel_,0.004215769872880941
Hi_8___rel_,0.004197196084346162
Ha_2___mu_,0.0041228894988982225
CCa_1_,0.004066288638733602
dCCa_2_,0.00406021369741801
dCCa_3_,0.004036450902108801
CCi_1_,0.003997871593458368
Ha_2___rel_,0.003961413204208299
dCCa_12_,0.003926822388211579
Hi_5___sd_,0.003920732232102414
dCCi_7_,0.0038957951415552194
PPE_i,0.0037708939870720447
Ha_5___sd_,0.0037126611577549904
Ha_5___mu_,0.003631937272862187
Ha_7___sd_,0.0035165482159848415
dCCi_6_,0.003514186639247885
Hi_2___mu_,0.003218134736841247
CCi_12_,0.003112713967868619
Ha_4___rel_,0.0030599398545613833
CCi_5_,0.0030092786926819272
Ha_3___rel_,0.0028738612775314927
dCCi_2_,0.002804268446102782
dCCi_9_,0.002650819977529671
dCCa_6_,0.0024317509604119434
dCCi_11_,0.0024002993275381336
GNEi___sigma_,0.0022500402844427576
CCa_11_,0.002167161612408734
J1_i,0.002115294171703022
Hi_1___mu_,0.002107961016938319
Hi_1___sd_,0.0020703733236186743
Ha_4___mu_,0.0019173293279445213
dCCa_11_,0.0018292421604515587
dCCi_1_,0.0017360663318956363
Ha_3___mu_,0.0016479866074702075
Ha_1___rel_,0.001630611513140446
CCa_7_,0.0014929775338561174
Ha_7___mu_,0.0014523542691027803
Hi_7___mu_,0.0014125799573560768
Sex,0.0014042214960699462
HNR_a,0.0013313237879929666
Ha_3___sd_,0.0010556864347793982
CCa_10_,0.0007736063166056601
Hi_3___mu_,0.0006874558499360946
CCa_12_,0.0006174194593174054
Hi_8___mu_,0.00045730515322149373
Hi_5___mu_,0.0004190764503885778
Hi_6___rel_,0.00034610662696235936
dCCa_9_,0.0002672910662824214
CCi_10_,0.00024590611353711764
dCCa_5_,0.0
DPF_a,0.0
